id,name,host_id,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,instant_bookable
6577123,Condo in Winnipeg · ★4.89 · 1 bedroom · 1 bed · 1 bath,31253536,Entire condo,Entire home/apt,3,,,$151.00,30,180,30,30,1125,1125,30.0,1125.0,t,14,14,14,250,f
6600452,Guest suite in Winnipeg · ★4.82 · 2 bedrooms · 3 beds · 1 bath,34530369,Entire guest suite,Entire home/apt,4,,,$78.00,2,31,2,2,1125,1125,2.0,1125.0,t,16,16,16,194,t
6645164,Home in Winnipeg · ★4.89 · 1 bedroom · 1 bed · 1 private bath,34740382,Private room in home,Private room,2,,,,1,1125,1,1,1125,1125,1.0,1125.0,,0,0,0,0,f
6729013,Home in Winnipeg · ★4.50 · 1 bedroom · 1 bed · 1.5 baths,28431458,Private room in home,Private room,2,,,$125.00,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,f
6821819,Condo in Winnipeg · ★4.82 · 1 bedroom · 1 bed · 1 bath,35601029,Entire condo,Entire home/apt,2,,,$85.00,5,1125,5,5,1125,1125,5.0,1125.0,t,12,12,19,19,f
6850453,Loft in Winnipeg · ★4.87 · 1 bedroom · 2 beds · 1 bath,7914034,Entire loft,Entire home/apt,4,,,,2,200,2,2,1125,1125,2.0,1125.0,,0,0,0,0,t
6958427,Home in Winnipeg · ★4.96 · 2 bedrooms · 2 beds · 1.5 baths,20374475,Entire home,Entire home/apt,4,,,$148.00,2,60,2,2,60,60,2.0,60.0,t,0,0,11,101,f
7403049,Home in Winnipeg · ★4.74 · 3 bedrooms · 3 beds · 1.5 shared baths,38791285,Private room in home,Private room,1,,,$60.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,214,f
7556469,Guest suite in Winnipeg · ★4.88 · 1 bedroom · 1 bed · 1 bath,19068812,Entire guest suite,Entire home/apt,3,,,$67.00,1,3,1,3,1125,1125,1.3,1125.0,t,3,3,3,3,f
7916359,Home in Winnipeg · ★4.74 · 4 bedrooms · 4 beds · 3 baths,23470058,Entire home,Entire home/apt,8,,,$159.00,4,365,1,4,365,365,4.0,365.0,t,19,49,79,86,f
8098097,Home in Winnipeg · ★4.79 · 1 bedroom · 1 bed · 1 bath,42762931,Private room in home,Private room,1,,,$35.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,0,266,f
8565594,Condo in Winnipeg · ★4.92 · 1 bedroom · 1 bed · 1 bath,9309064,Entire condo,Entire home/apt,2,,,,30,1125,30,30,1125,1125,30.0,1125.0,,0,0,0,0,f
8703847,Bed and breakfast in Winnipeg · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,45690657,Private room in bed and breakfast,Private room,2,,,$45.00,4,30,4,4,30,30,4.0,30.0,t,0,0,13,13,f
8722108,Home in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,45777946,Private room in home,Private room,2,,,$92.00,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,f
8736262,Home in Winnipeg · ★4.87 · 1 bedroom · 2 beds · 1 bath,44955677,Entire home,Entire home/apt,4,,,$71.00,2,1125,1,2,1125,1125,2.0,1125.0,t,0,0,0,0,f
8848038,Bungalow in Winnipeg · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,46180149,Private room in bungalow,Private room,1,,,$54.00,1,30,3,3,1125,1125,3.0,1125.0,t,30,60,90,365,t
8868539,Rental unit in Winnipeg · ★5.0 · 1 bedroom · 2 beds · 1 bath,46420675,Entire rental unit,Entire home/apt,4,,,$108.00,3,365,3,3,365,365,3.0,365.0,t,28,58,88,88,f
8885819,Bungalow in Winnipeg · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,46180149,Private room in bungalow,Private room,1,,,$35.00,2,1125,2,3,1125,1125,2.9,1125.0,t,30,60,90,365,f
9171210,Rental unit in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1.5 shared baths,45777946,Private room in rental unit,Private room,2,,,$123.00,1,1125,1,1,1125,1125,1.0,1125.0,t,24,54,84,359,f
9229642,Rental unit in Winnipeg · ★4.85 · 1 bedroom · 1 bed · 1 bath,4997811,Entire rental unit,Entire home/apt,2,,,$85.00,3,365,3,3,365,365,3.0,365.0,t,30,60,90,365,f
9632927,Home in Winnipeg · ★4.86 · 3 bedrooms · 3 beds · 1.5 baths,49126625,Entire home,Entire home/apt,6,,,$130.00,2,650,2,2,650,650,2.0,650.0,t,0,0,0,17,f
10495242,Condo in Winnipeg · 1 bedroom · 1 bed · 1 bath,17190273,Entire condo,Entire home/apt,2,,,$375.00,3,1125,3,3,1125,1125,3.0,1125.0,t,15,15,31,273,f
10862820,Condo in Winnipeg · ★4.84 · Studio · 2 beds · 1 bath,35601029,Entire condo,Entire home/apt,2,,,$86.00,5,1125,5,5,1125,1125,5.0,1125.0,t,8,38,68,68,f
11533848,Home in Winnipeg · ★4.98 · 2 bedrooms · 3 beds · 2 baths,48915087,Entire home,Entire home/apt,5,,,$124.00,5,1125,5,5,1125,1125,5.0,1125.0,t,16,26,56,72,f
11841673,Home in Winnipeg · ★4.83 · 4 bedrooms · 7 beds · 3.5 baths,61102366,Entire home,Entire home/apt,10,,,$250.00,4,22,4,4,22,22,4.0,22.0,t,23,53,83,354,f
12113228,Bungalow in Winnipeg · ★5.0 · 4 bedrooms · 4 beds · 3 baths,43119179,Entire bungalow,Entire home/apt,6,,,$850.00,7,90,7,7,90,90,7.0,90.0,t,28,58,88,363,f
12191809,Condo in Winnipeg · 2 bedrooms · 2 beds · 1 bath,65535254,Entire condo,Entire home/apt,4,,,$65.00,30,1125,30,30,1125,1125,30.0,1125.0,t,30,60,90,364,f
13039593,Guest suite in Winnipeg · ★4.83 · 2 bedrooms · 3 beds · 1 bath,42928963,Entire guest suite,Entire home/apt,5,,,$69.00,3,180,2,3,180,180,3.0,180.0,t,0,0,0,0,f
13141728,Condo in Winnipeg · ★4.86 · 2 bedrooms · 2 beds · 1 bath,5078608,Entire condo,Entire home/apt,5,,,$66.00,2,150,2,2,1125,1125,2.0,1125.0,t,3,12,31,161,f
14016269,Rental unit in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,49214281,Entire rental unit,Entire home/apt,4,,,$119.00,4,1125,4,4,1125,1125,4.0,1125.0,t,14,29,59,59,f
14369936,Home in Winnipeg · ★4.90 · 1 bedroom · 1 bed · 1.5 shared baths,88153611,Private room in home,Private room,1,,,$60.00,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,f
14533478,Home in Winnipeg · ★4.80 · 2 bedrooms · 1 bed · 1 shared bath,84261849,Private room in home,Private room,2,,,$50.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,t
14948549,Home in Winnipeg · 3 bedrooms · 3 beds · 3 baths,66027644,Entire home,Entire home/apt,6,,,$189.00,4,1125,4,4,1125,1125,4.0,1125.0,t,5,35,65,279,f
15019119,Bungalow in Winnipeg · ★4.95 · 2 bedrooms · 2 beds · 1.5 baths,60400653,Entire bungalow,Entire home/apt,5,,,$97.00,2,28,2,7,1125,1125,2.1,1125.0,t,15,31,31,43,f
15115319,Home in Winnipeg · ★4.84 · 3 bedrooms · 3 beds · 2.5 baths,95776055,Entire home,Entire home/apt,6,,,$128.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,f
15230180,Rental unit in Winnipeg · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,18581972,Entire rental unit,Entire home/apt,2,,,$102.00,3,1125,2,3,2,1125,3.0,1117.3,t,0,0,0,0,t
15269088,Home in Winnipeg · ★4.74 · 2 bedrooms · 3 beds · 1 bath,97139450,Entire home,Entire home/apt,3,,,$65.00,1,200,1,1,200,200,1.0,200.0,t,29,59,89,269,f
15324736,Rental unit in Winnipeg · ★4.92 · 1 bedroom · 2 beds · 1 bath,97659537,Entire rental unit,Entire home/apt,4,,,$43.00,30,1125,30,30,1125,1125,30.0,1125.0,t,9,27,42,206,f
15379668,Rental unit in Winnipeg · ★4.67 · 2 bedrooms · 2 beds · 1 bath,95776055,Entire rental unit,Entire home/apt,4,,,$89.00,1,1125,1,2,1125,1125,1.3,1125.0,t,17,47,77,352,f
15759774,Rental unit in Winnipeg · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,3843389,Entire rental unit,Entire home/apt,2,,,$65.00,7,125,7,7,125,125,7.0,125.0,t,29,59,89,179,f
15760079,Condo in Winnipeg · ★4.89 · 2 bedrooms · 2 beds · 1 bath,101898460,Entire condo,Entire home/apt,3,,,$168.00,2,1125,1,2,1125,1125,1.9,1125.0,t,20,50,75,338,f
15835120,Home in Winnipeg · ★4.67 · 3 bedrooms · 4 beds · 1.5 shared baths,38791285,Private room in home,Private room,1,,,$60.00,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,15,195,f
15928457,Bungalow in Winnipeg · ★4.62 · 2 bedrooms · 2 beds · 1 bath,103358415,Entire bungalow,Entire home/apt,5,,,$90.00,4,90,4,4,90,90,4.0,90.0,t,0,0,0,0,f
15962345,Condo in Winnipeg · ★4.86 · 1 bedroom · 1 bed · 1 bath,83072651,Entire condo,Entire home/apt,2,,,,1,60,1,1,60,60,1.0,60.0,,0,0,0,0,f
16312922,Serviced apartment in Winnipeg · ★4.90 · 1 bedroom · 1 bed · 1 bath,106742367,Entire serviced apartment,Entire home/apt,2,,,$775.00,2,4,2,2,4,4,2.0,4.0,t,30,60,89,89,f
16465699,Condo in Winnipeg · ★4.93 · Studio · 2 beds · 1 bath,44467977,Entire condo,Entire home/apt,4,,,$78.00,13,365,13,13,1125,1125,13.0,1125.0,t,30,60,89,89,f
16542682,Condo in Winnipeg · 2 bedrooms · 2 beds · 1 bath,65535254,Entire condo,Entire home/apt,4,,,$60.00,30,1125,30,30,1125,1125,30.0,1125.0,t,15,45,75,350,f
16703673,Home in Winnipeg · ★4.98 · 4 bedrooms · 4 beds · 2.5 baths,110655007,Private room in home,Private room,10,,,$73.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,193,f
16857846,Condo in Winnipeg · ★4.63 · 1 bedroom · 2 beds · 1 bath,112299835,Entire condo,Entire home/apt,4,,,$79.00,3,1125,3,3,1125,1125,3.0,1125.0,t,4,9,39,123,f
16994402,Rental unit in Winnipeg · ★4.77 · 1 bedroom · 1 bed · 1 bath,113835860,Entire rental unit,Entire home/apt,3,,,$69.00,1,360,1,1,1125,1125,1.0,1125.0,t,1,26,55,55,t
17736300,Home in Winnipeg · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,120967910,Private room in home,Private room,1,,,$49.00,2,1124,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,t
17991311,Rental unit in Winnipeg · ★4.74 · 2 bedrooms · 2 beds · 1 bath,95776055,Entire rental unit,Entire home/apt,4,,,$69.00,1,1125,1,2,1125,1125,1.3,1125.0,t,18,48,78,353,f
18117456,Bungalow in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 private bath,109248901,Private room in bungalow,Private room,1,,,$30.00,30,180,30,30,180,180,30.0,180.0,t,0,30,60,335,f
18117508,Bungalow in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,109248901,Private room in bungalow,Private room,1,,,$30.00,3,120,3,5,120,120,3.0,120.0,t,9,9,9,207,f
18152359,Guest suite in Winnipeg · ★4.84 · 1 bedroom · 2 beds · 1 bath,125166589,Entire guest suite,Entire home/apt,2,,,$60.00,2,30,2,2,1125,1125,2.0,1125.0,t,25,55,75,165,t
18361859,Home in Winnipeg · ★4.90 · 2 bedrooms · 2 beds · 1 shared bath,119556952,Private room in home,Private room,4,,,$74.00,2,45,2,2,45,45,2.0,45.0,t,0,0,0,0,f
18489971,Home in Winnipeg · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,64832612,Private room in home,Private room,1,,,$40.00,1,60,1,1,60,60,1.0,60.0,t,30,60,89,89,f
18687663,Home in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,6366974,Entire home,Entire home/apt,4,,,,60,108,60,60,108,108,60.0,108.0,,0,0,0,0,f
19135087,Rental unit in Winnipeg · ★4.61 · 1 bedroom · 1 bed · 1 bath,95776055,Entire rental unit,Entire home/apt,2,,,$45.00,31,1124,31,31,1125,1125,31.0,1125.0,t,15,22,52,293,f
19229078,Rental unit in Winnipeg · ★4.77 · 2 bedrooms · 2 beds · 1 bath,40509243,Entire rental unit,Entire home/apt,4,,,$85.00,2,120,2,2,1125,1125,2.0,1125.0,t,12,32,52,204,t
19346843,Bungalow in Winnipeg · ★4.86 · 2 bedrooms · 3 beds · 1 bath,11151940,Entire bungalow,Entire home/apt,6,,,$150.00,7,1125,4,4,1125,1125,4.0,1125.0,t,20,20,20,20,f
25539735,Guest suite in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 bath,3638197,Entire guest suite,Entire home/apt,2,,,,2,21,2,2,1125,1125,2.0,1125.0,,0,0,0,0,f
19554635,Bungalow in Winnipeg · ★4.96 · 4 bedrooms · 4 beds · 2 baths,58881006,Entire bungalow,Entire home/apt,8,,,$157.00,7,1125,3,7,1125,1125,5.1,1125.0,t,0,0,0,0,f
19556636,Bungalow in Winnipeg · ★4.84 · 1 bedroom · 1 bed · 1 private bath,137416520,Private room in bungalow,Private room,2,,,$55.00,1,120,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,f
19784940,Condo in Winnipeg · ★4.83 · 2 bedrooms · 2 beds · 1 bath,114498849,Entire condo,Entire home/apt,4,,,$93.00,2,1125,2,14,1125,1125,11.7,1125.0,t,19,49,79,353,f
19807945,Home in Winnipeg · 2 bedrooms · 2 beds · 1 bath,76265808,Entire home,Entire home/apt,4,,,,4,1125,4,4,1125,1125,4.0,1125.0,,0,0,0,0,f
19830207,Bungalow in Winnipeg · ★4.70 · Studio · 3 beds · 1 bath,137744259,Entire bungalow,Entire home/apt,5,,,$59.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,106,f
19856231,Home in Winnipeg · ★4.92 · 4 bedrooms · 5 beds · 2 baths,140414208,Entire home,Entire home/apt,7,,,$110.00,2,150,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,f
19893969,Guest suite in Winnipeg · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,120967910,Private room in guest suite,Private room,1,,,$55.00,2,1125,2,2,1125,1125,2.0,1125.0,t,8,38,68,343,t
19943640,Home in Winnipeg · ★4.97 · 5 bedrooms · 10 beds · 3 baths,86138438,Entire home,Entire home/apt,11,,,$289.00,3,60,3,4,60,60,3.0,60.0,t,15,39,62,282,f
19945440,Guest suite in Winnipeg · ★4.98 · 1 bedroom · 2 beds · 1 bath,141354470,Entire guest suite,Entire home/apt,2,,,$75.00,2,29,2,2,1125,1125,2.0,1125.0,t,5,33,49,123,f
19949282,Rental unit in Winnipeg · ★4.84 · 1 bedroom · 2 beds · 1 bath,141392319,Entire rental unit,Entire home/apt,4,,,$70.00,1,45,1,2,1125,1125,1.3,1125.0,t,14,44,70,341,f
19967328,Rental unit in Winnipeg · ★4.85 · 1 bedroom · 1 bed · 1 bath,12547985,Entire rental unit,Entire home/apt,4,,,$55.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,0,76,f
20007181,Rental unit in Winnipeg · ★4.96 · 3 bedrooms · 3 beds · 1 bath,4997811,Entire rental unit,Entire home/apt,4,,,$114.00,2,1125,2,3,1125,1125,2.1,1125.0,t,30,60,90,365,f
20255385,Home in Winnipeg · ★4.85 · 1 bedroom · 1 bed · 1 private bath,144343801,Private room in home,Private room,2,,,$50.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,f
20360491,Condo in Winnipeg · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,134777230,Entire condo,Entire home/apt,3,,,,4,1125,3,5,1125,1125,4.0,1125.0,,0,0,0,0,f
20405074,Home in Winnipeg · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,11773408,Entire home,Entire home/apt,4,,,$95.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,0,0,f
20457606,Rental unit in Winnipeg · 1 bedroom · 2 beds · 1.5 baths,103768435,Entire rental unit,Entire home/apt,4,,,$90.00,1,365,1,1,365,365,1.0,365.0,t,0,15,45,319,f
20542130,Townhouse in Winnipeg · ★5.0 · Studio · 2 beds · 2.5 baths,5153325,Entire townhouse,Entire home/apt,4,,,$450.00,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,89,89,f
20573647,Loft in Winnipeg · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,8332120,Entire loft,Entire home/apt,4,,,$199.00,2,1125,2,2,1125,1125,2.0,1125.0,t,19,45,75,349,f
20583144,Loft in Winnipeg · ★4.96 · Studio · 1 bed · 1 bath,30905989,Entire loft,Entire home/apt,2,,,,4,90,4,4,90,90,4.0,90.0,,0,0,0,0,f
20759250,Home in Winnipeg · ★4.93 · 1 bedroom · 2 beds · 1 bath,150297977,Entire home,Entire home/apt,4,,,$80.00,3,1125,1,3,1125,1125,2.7,1125.0,t,30,60,75,75,f
20814619,Guest suite in Winnipeg · ★4.94 · Studio · 1 bed · 1 bath,149271769,Entire guest suite,Entire home/apt,1,,,$62.00,2,5,2,2,5,5,2.0,5.0,t,19,49,79,168,f
20968358,Home in Winnipeg · ★4.86 · 1 bedroom · 1 bed · 1 private bath,455475,Private room in home,Private room,2,,,$55.00,1,1125,1,1,1125,1125,1.0,1125.0,t,27,56,86,175,t
21041138,Guest suite in Winnipeg · ★4.92 · 2 bedrooms · 2 beds · 1 private bath,101847099,Private room in guest suite,Private room,2,,,,2,90,2,2,90,90,2.0,90.0,,0,0,0,0,f
21077938,Rental unit in Winnipeg · ★4.88 · 2 bedrooms · 2 beds · 1.5 baths,147578945,Entire rental unit,Entire home/apt,3,,,$199.00,1,1125,1,2,1125,1125,1.1,1125.0,t,0,0,15,290,f
21141111,Guest suite in Winnipeg · ★5.0 · 1 bedroom · 2 beds · 1 bath,92517844,Entire guest suite,Entire home/apt,2,,,$70.00,3,31,3,3,31,31,3.0,31.0,t,21,40,70,345,f
21229614,Home in Winnipeg · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,112344629,Private room in home,Private room,2,,,$45.00,3,60,3,3,1125,1125,3.0,1125.0,t,21,41,69,69,f
21231243,Bungalow in Winnipeg · ★4.31 · 2 bedrooms · 3 beds · 1 bath,81315066,Entire bungalow,Entire home/apt,6,,,$200.00,3,90,3,3,90,90,3.0,90.0,t,29,59,73,73,f
21375970,Home in Winnipeg · ★4.93 · 2 bedrooms · 2 beds · 2 baths,8407330,Entire home,Entire home/apt,4,,,$101.00,3,45,3,3,1125,1125,3.0,1125.0,t,1,1,1,1,f
21501002,Guest suite in Winnipeg · ★4.94 · Studio · 1 bed · 1 bath,11151940,Entire guest suite,Entire home/apt,2,,,$45.00,4,1125,4,4,1125,1125,4.0,1125.0,t,29,59,61,149,f
21514826,Home in Winnipeg · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,112344629,Private room in home,Private room,1,,,,3,180,3,3,1125,1125,3.0,1125.0,,0,0,0,0,f
21538416,Rental unit in Winnipeg · ★4.63 · 1 bedroom · 1 bed · 1 bath,95776055,Entire rental unit,Entire home/apt,2,,,$65.00,1,1125,1,2,1125,1125,1.7,1125.0,t,0,0,0,0,f
21753823,Rental unit in Winnipeg · 1 bedroom · 1 bed · 1 bath,158349313,Entire rental unit,Entire home/apt,2,,,$99.00,3,3,3,3,3,3,3.0,3.0,t,27,57,87,87,f
21813133,Rental unit in Winnipeg · ★4.75 · 3 bedrooms · 3 beds · 1 bath,95776055,Entire rental unit,Entire home/apt,6,,,$69.00,1,1125,1,2,1125,1125,1.3,1125.0,t,0,0,0,0,f
21837665,Rental unit in Winnipeg · ★4.98 · 2 bedrooms · 2 beds · 2 baths,4997811,Entire rental unit,Entire home/apt,4,,,$114.00,2,1125,2,2,1125,1125,2.0,1125.0,t,27,57,87,362,f
21881934,Rental unit in Winnipeg · ★4.80 · 2 bedrooms · 2 beds · 1 bath,95776055,Entire rental unit,Entire home/apt,4,,,$74.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,f
21919063,Condo in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 bath,159932147,Entire condo,Entire home/apt,2,,,$65.00,29,1125,29,29,1125,1125,29.0,1125.0,t,14,14,14,98,f
21956686,Townhouse in Winnipeg · ★4.44 · 1 bedroom · 1 bed · 1 shared bath,160038191,Private room in townhouse,Private room,1,,,$35.00,1,30,1,1,30,30,1.0,30.0,t,30,60,90,179,f
22120139,Home in Winnipeg · ★4.50 · 3 bedrooms · 3 beds · 1 bath,95776055,Entire home,Entire home/apt,6,,,$78.00,1,1125,1,2,1125,1125,1.7,1125.0,t,0,0,0,0,f
22505139,Guest suite in Winnipeg · ★4.93 · 1 bedroom · 1 bed · 1 bath,165102371,Entire guest suite,Entire home/apt,2,,,$60.00,180,365,180,180,1125,1125,180.0,1125.0,t,16,46,76,76,f
22545718,Guest suite in Winnipeg · ★4.95 · 1 bedroom · 2 beds · 1 bath,40200324,Entire guest suite,Entire home/apt,4,,,$84.00,2,1125,2,2,1125,1125,2.0,1125.0,t,24,54,75,165,t
22812947,Home in Winnipeg · ★4.91 · 3 bedrooms · 4 beds · 1 bath,85761896,Entire home,Entire home/apt,6,,,$95.00,25,356,25,25,1125,1125,25.0,1125.0,t,11,41,71,346,t
22943551,Condo in Winnipeg · ★4.88 · 2 bedrooms · 2 beds · 1 bath,158970875,Entire condo,Entire home/apt,4,,,$123.00,7,1120,7,7,1120,1120,7.0,1120.0,t,0,15,45,61,f
23073257,Townhouse in Winnipeg · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,160038191,Private room in townhouse,Private room,1,,,$30.00,1,31,1,1,31,31,1.0,31.0,t,30,60,89,89,f
23101260,Home in Winnipeg · ★4.80 · 5 bedrooms · 5 beds · 2 baths,9204262,Entire home,Entire home/apt,9,,,$163.00,3,1125,3,3,1125,1125,3.0,1125.0,t,25,55,85,175,f
23126855,Condo in Winnipeg · ★4.86 · 1 bedroom · 1 bed · 1 bath,74203278,Entire condo,Entire home/apt,2,,,$88.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,9,39,129,f
23223000,Home in Winnipeg · ★4.88 · 2 bedrooms · 2 beds · 1 bath,102914635,Entire home,Entire home/apt,4,,,$190.00,3,60,3,3,1125,1125,3.0,1125.0,t,9,39,69,73,t
23265785,Guest suite in Winnipeg · ★4.71 · 1 bedroom · 1 bed · 1 bath,8183935,Entire guest suite,Entire home/apt,2,,,$75.00,4,1125,4,4,1125,1125,4.0,1125.0,t,29,59,84,254,f
23373186,Loft in Winnipeg · 1 bedroom · 2 beds · 2 baths,73231239,Entire loft,Entire home/apt,3,,,,30,1125,30,30,1125,1125,30.0,1125.0,,0,0,0,0,f
23613281,Home in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,127173281,Private room in home,Private room,1,,,$59.00,2,6,2,2,6,6,2.0,6.0,t,0,0,0,0,f
23627811,Rental unit in Winnipeg · ★4.79 · 1 bedroom · 1 bed · 1 bath,113835860,Entire rental unit,Entire home/apt,3,,,$68.00,1,1125,1,1,1125,1125,1.0,1125.0,t,19,49,78,78,t
