host_id,host_name,host_since,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_identity_verified
246114376,Scott,2019-03-01,t,within an hour,100%,100%,2,3,t
206946214,Melanie,2018-08-02,f,within a few hours,100%,,3,5,t
246644202,Kiran,2019-03-03,f,a few days or more,0%,0%,1,1,t
249669972,Crystal,2019-03-18,t,within a few hours,100%,95%,3,5,t
152950826,Hedi,2017-10-02,t,within an hour,100%,90%,1,2,t
98927265,Pawan,2016-10-09,f,a few days or more,0%,0%,1,1,t
81950151,Laksiri,2016-07-05,t,within a day,100%,100%,1,1,t
133026564,Vishal,2017-06-01,f,,,100%,1,3,t
38459934,Corporate Stays,2015-07-14,f,within an hour,98%,88%,431,599,t
261799192,Wendelina,2019-05-14,f,within an hour,100%,80%,4,5,t
251997834,Brenda,2019-03-29,f,within a day,86%,100%,2,2,t
227205574,Joseph,2018-11-23,f,within an hour,100%,94%,1,7,t
194010985,Eq,2018-06-07,f,within an hour,100%,92%,3,3,t
267961977,Greenview,2019-06-11,f,within a few hours,75%,100%,1,1,t
192346927,Ken And Els,2018-05-29,t,,,93%,1,3,t
52798939,Coleen,2015-12-30,f,,,,1,2,t
163070,David,2010-07-10,t,within an hour,100%,100%,3,3,t
272132100,Mehari,2019-06-28,f,,,0%,1,2,f
277396359,Ruth Grace,2019-07-19,t,within an hour,100%,98%,1,1,t
2292373,Dallas And Carla,2012-05-04,t,within an hour,100%,81%,4,8,t
204867329,Claire,2018-07-24,f,,,,1,1,t
281574286,Sean,2019-08-01,t,within an hour,100%,98%,1,1,t
65125757,Mike,2016-03-30,t,within an hour,100%,98%,3,3,t
83638615,Chris,2016-07-14,t,within an hour,97%,90%,4,4,t
36084423,Maggie,2015-06-17,t,within an hour,100%,100%,5,7,t
108722007,Denis,2016-12-27,f,within an hour,100%,100%,1,1,t
170362793,Nicole,2018-01-28,t,within an hour,100%,97%,1,2,t
547429996,Michelle,2023-11-20,f,,,,2,2,t
293745142,"Martina, Bruce, And Lauren",2019-09-10,t,within an hour,100%,90%,1,1,t
79833016,Roam,2016-06-25,f,within an hour,100%,99%,1,1,t
293079642,Stephanie,2019-09-08,f,,,,2,2,f
55013632,Karen,2016-01-17,f,within a day,75%,78%,1,2,t
98853732,John,2016-10-08,t,within an hour,100%,100%,2,6,t
298663106,Tony And Karen,2019-09-28,t,within an hour,100%,100%,3,3,t
298544648,JaneAnne,2019-09-28,f,,,100%,1,1,t
5626785,Caroline,2013-03-25,f,a few days or more,20%,0%,1,1,t
141801009,Criselda,2017-07-22,t,,,96%,2,6,t
304904186,Kelly,2019-10-27,t,within an hour,100%,98%,6,7,t
304936446,Abel,2019-10-27,t,within an hour,100%,99%,2,2,t
305572011,Mandipa,2019-10-30,f,,,100%,1,1,t
227976233,Roseanne,2018-11-28,f,within a day,50%,13%,2,2,t
62123717,Jeremie,2016-03-08,f,within an hour,100%,92%,2,2,t
3127896,Leah,2012-08-01,t,within a few hours,100%,80%,1,1,t
307597595,Kemy,2019-11-06,f,within an hour,100%,100%,3,3,t
308325854,Sylvester,2019-11-09,f,,,100%,1,1,f
42343280,Kin Keung,2015-08-24,f,,,0%,1,1,t
273419083,Elizabeth,2019-07-03,f,within an hour,100%,100%,5,6,t
309608502,David,2019-11-14,t,within an hour,100%,97%,6,7,t
313473078,Marty,2019-11-30,f,,,,1,3,t
314438876,Larry,2019-12-04,f,within a day,100%,100%,1,1,t
170655363,Vera,2018-01-29,f,,,,1,1,t
568999,Chelsea,2011-05-08,f,within an hour,100%,96%,3,4,t
107713561,Vern,2016-12-18,f,within an hour,100%,100%,1,1,t
184981743,Alan And Loida,2018-04-18,t,within an hour,100%,90%,3,3,t
77723885,Helena,2016-06-14,t,within an hour,100%,96%,4,7,t
19308657,Jordan,2014-08-01,f,,,,3,3,t
336207432,Sumbal,2020-02-14,f,,,,1,2,f
336992214,Kirill,2020-02-17,t,within an hour,100%,96%,3,3,t
282284370,Daniel,2019-08-03,f,within an hour,80%,83%,1,7,f
338214186,M2i,2020-02-22,f,,,,5,5,t
325617908,Ashley,2020-01-08,t,within an hour,100%,93%,5,8,t
340995231,Alex,2020-03-09,f,within an hour,100%,0%,1,1,f
340959175,Temi,2020-03-09,t,within an hour,100%,99%,1,1,t
95312694,Azeez,2016-09-15,f,within an hour,100%,93%,2,2,t
341920704,Sylvester,2020-03-18,t,within a few hours,100%,88%,3,3,t
27379047,Dorothy,2015-02-07,t,within an hour,100%,100%,1,1,t
294422265,Susana,2019-09-12,f,within an hour,100%,96%,1,1,t
225427538,Ranjit,2018-11-12,f,,,100%,1,1,t
348144031,Sheriff,2020-05-31,t,within an hour,100%,99%,5,5,t
30874680,Doug,2015-04-08,t,within an hour,100%,88%,1,1,t
139114267,Marco,2017-07-07,t,within an hour,100%,96%,1,1,t
50697287,Amos,2015-12-07,f,,,100%,2,2,t
358251915,Christiana,2020-07-24,t,within an hour,100%,100%,3,4,t
178683307,Casey,2018-03-15,f,within an hour,100%,99%,4,4,t
359352320,Temmie,2020-07-29,f,,,0%,1,1,t
135314777,James,2017-06-16,t,within an hour,100%,87%,2,4,t
179270530,Kokeb,2018-03-19,f,within a day,60%,31%,1,1,t
56931981,Wally,2016-02-01,f,within an hour,100%,100%,2,2,t
27563486,Luisa & Jayme,2015-02-10,t,within a day,100%,88%,1,2,t
304206352,Carly,2019-10-24,f,,,,1,1,f
367842552,Abdul,2020-09-16,t,within an hour,100%,100%,2,5,t
210203810,Andrew,2018-08-17,t,within an hour,100%,100%,1,1,t
41109580,Darwin,2015-08-10,t,within an hour,92%,99%,7,12,t
18807536,Margherita,2014-07-24,t,within an hour,100%,93%,1,1,t
14735297,Eunice,2014-04-25,t,within an hour,100%,98%,1,1,t
83528418,Mary,2016-07-13,f,,,100%,2,2,t
124913178,Nardia,2017-04-08,f,within an hour,100%,95%,9,20,t
263787117,Alex,2019-05-23,f,,,0%,1,2,t
25149836,Ben & Paige,2014-12-23,t,within an hour,100%,94%,2,4,t
371072492,Yuliya,2020-10-07,f,within an hour,100%,100%,2,2,t
374493257,Lianlong,2020-11-04,f,a few days or more,0%,63%,3,4,f
375702956,Nazima,2020-11-15,f,,,,1,2,t
251853488,Cindy,2019-03-28,f,,,0%,1,2,t
376327468,Hugh,2020-11-19,f,within an hour,100%,89%,2,4,t
374292404,Samuel,2020-11-03,t,within an hour,100%,90%,15,15,t
128856873,John,2017-05-04,t,within an hour,100%,98%,2,6,t
372801588,Truong,2020-10-21,f,,,,1,1,f
301681807,Olu,2019-10-11,t,within an hour,100%,98%,3,3,t
138970567,Musette,2017-07-06,t,within an hour,100%,100%,3,5,t
165704595,Emmanuel,2018-01-03,f,within an hour,100%,100%,1,1,t
368562151,Branden,2020-09-21,f,within an hour,100%,100%,7,7,t
173121448,Rogerio,2018-02-12,t,within an hour,100%,100%,3,5,t
23818975,Heather,2014-11-16,t,within an hour,100%,100%,1,2,t
384678077,Ifeoluwa,2021-01-15,t,within an hour,100%,97%,1,1,t
256637440,Anthony,2019-04-18,t,within a few hours,100%,93%,1,1,t
330159,Dylan,2010-12-29,f,,,,1,1,t
382062578,Busuyi,2020-12-28,f,within a few hours,75%,43%,2,2,t
385630285,Avi,2021-01-22,t,within an hour,100%,96%,1,1,t
122487701,Abi,2017-03-25,t,within an hour,100%,99%,2,2,t
218226046,Davis,2018-10-01,f,,,100%,2,2,t
254141373,Jasmeet,2019-04-08,t,within an hour,100%,98%,1,2,t
390125063,Andrea,2021-02-25,f,within an hour,100%,96%,9,9,t
391110212,Angela,2021-03-04,t,within an hour,100%,99%,1,1,t
322217142,Ibrahim,2019-12-29,f,,,0%,1,1,t
146070721,Roger,2017-08-15,f,,,,1,1,t
393587370,Paul And Priscilia,2021-03-21,f,within an hour,82%,92%,2,2,t
308391517,Jane,2019-11-09,f,within an hour,100%,100%,3,4,t
394195167,Ngozi,2021-03-25,t,within an hour,100%,98%,2,3,t
243723924,Amy,2019-02-17,t,within an hour,100%,85%,1,2,t
3494549,Efren,2012-09-06,t,within an hour,100%,83%,2,2,t
144220958,Ifunanya,2017-08-04,t,within an hour,100%,100%,2,2,t
92641804,Nathan,2016-08-30,t,within an hour,100%,91%,2,2,t
396535383,Tetsoma,2021-04-11,f,,,100%,2,3,t
398054402,Rena,2021-04-21,f,within an hour,100%,100%,1,1,t
393871664,Damola,2021-03-23,t,within an hour,100%,100%,3,3,t
135675567,Marina,2017-06-18,f,,,,3,3,t
38677990,Jeremie,2015-07-16,f,,,,1,1,f
323806357,Nuu,2020-01-02,f,within an hour,100%,100%,7,7,t
392855589,Katie,2021-03-16,t,within a few hours,100%,98%,2,3,t
9711247,Mitchell,2013-10-29,t,within an hour,100%,87%,1,1,t
64679900,Kareem,2016-03-27,f,within an hour,100%,,1,5,t
116808477,Ross,2017-02-17,f,,,,1,1,f
92041318,Gen,2016-08-26,f,within a day,100%,75%,1,1,t
394055253,Joanna,2021-03-24,f,within an hour,80%,100%,1,1,t
409323685,Darcy & Michelle,2021-06-26,t,within an hour,100%,97%,1,1,t
409922617,Rana,2021-06-29,f,,,100%,1,3,f
410136679,Fleur,2021-06-30,f,,,71%,1,1,t
407705150,Suite Stay,2021-06-17,f,within an hour,100%,97%,5,14,t
257456574,Erin,2019-04-22,t,within an hour,100%,93%,1,1,t
17174148,Christopher,2014-06-23,t,within an hour,100%,98%,4,5,t
335932622,Katarina,2020-02-13,f,,,,1,1,t
25608286,Figskin,2015-01-04,f,,,,2,4,t
80006742,Darin,2016-06-26,f,,,100%,1,3,f
411956867,Jenny,2021-07-09,t,within an hour,100%,98%,1,3,t
28288189,Desneige,2015-02-24,t,within an hour,100%,97%,1,1,t
164533656,Terry Junhua,2017-12-27,f,within an hour,80%,100%,1,7,t
411970522,Lanre,2021-07-09,f,,,100%,3,3,t
414987277,Ayoola,2021-07-25,t,within an hour,100%,100%,2,2,t
330747660,Mirna And Nathan,2020-01-26,t,within an hour,100%,100%,1,1,t
143482754,Diana,2017-07-31,t,within an hour,100%,100%,1,1,t
387441461,Salvatory,2021-02-05,f,within an hour,100%,67%,1,1,t
74224801,Brad,2016-05-26,t,within an hour,100%,99%,11,13,t
42420246,Annette,2015-08-24,f,within a few hours,100%,0%,2,5,t
252632209,Danai,2019-04-01,f,,,42%,1,1,t
417387929,Delcina,2021-08-07,f,a few days or more,0%,0%,1,1,t
33656509,Oishly,2015-05-18,f,within an hour,100%,100%,1,1,t
418646993,Innocent,2021-08-15,t,within an hour,100%,97%,1,1,t
287107029,Lewis,2019-08-19,f,within an hour,100%,100%,3,7,t
379822752,Ola,2020-12-12,f,,,,1,1,t
419592825,Sylvia,2021-08-22,t,within an hour,100%,90%,1,1,t
419664335,Tia,2021-08-22,t,within an hour,100%,99%,1,1,t
420408102,Adeola,2021-08-27,f,,,0%,3,3,t
420511753,Babatola,2021-08-28,f,within an hour,100%,80%,3,3,t
421169286,Hawawu,2021-09-01,f,,,0%,1,1,t
22019791,Anne Denisse,2014-10-01,t,within an hour,100%,98%,1,3,t
371824573,Shereen,2020-10-13,t,within an hour,100%,100%,3,3,t
292051659,Benedicta,2019-09-04,t,within an hour,100%,97%,1,4,t
423619219,Remi,2021-09-18,f,,,0%,1,3,t
134395448,Robyn,2017-06-10,f,within an hour,100%,100%,18,35,t
424777761,Alex,2021-09-27,f,within an hour,100%,100%,3,7,t
76538863,Sophia,2016-06-08,t,within a few hours,100%,92%,3,3,t
425172625,Getaway,2021-09-29,t,within an hour,100%,99%,2,2,t
425386675,Jaime,2021-09-30,t,within an hour,100%,95%,1,1,t
84460949,Ebubechukwu,2016-07-18,t,within an hour,100%,96%,1,1,t
426338917,Liam,2021-10-07,f,within an hour,100%,92%,1,1,t
361310476,Gustave,2020-08-09,f,within a day,50%,82%,3,3,t
72157932,Wpg,2016-05-15,f,within an hour,98%,98%,23,25,t
54207218,Zachary,2016-01-11,t,within an hour,100%,100%,2,2,t
365974118,Elyse,2020-09-04,f,within an hour,97%,100%,6,6,t
289694152,Ak,2019-08-27,f,within an hour,100%,25%,1,1,t
161647684,Jarek,2017-12-06,t,within an hour,100%,93%,1,1,t
395850022,Jessica,2021-04-06,t,within an hour,100%,85%,3,7,t
83763635,Gilles,2016-07-14,t,within an hour,100%,100%,4,4,t
26506986,Lorrainne,2015-01-21,t,within an hour,100%,99%,9,10,t
4858628,Glenda,2013-01-26,t,within a day,67%,100%,1,1,t
327081003,Shayna,2020-01-13,t,within an hour,100%,96%,1,1,t
1551204,Doug,2011-12-30,f,within an hour,100%,100%,2,3,t
188791381,Sukhi,2018-05-09,f,within a day,50%,0%,1,1,t
429295818,Ola,2021-10-27,t,,,100%,1,1,t
400495940,Milton,2021-05-07,f,within an hour,100%,88%,1,1,t
65984536,Kyle,2016-04-05,t,within an hour,100%,100%,6,8,t
93716898,Aggrey,2016-09-05,t,within an hour,100%,94%,1,1,t
346988041,Ekene,2020-05-21,f,within an hour,100%,95%,3,3,t
24067918,Andrew,2014-11-23,t,within an hour,100%,100%,1,3,t
219317062,Easha,2018-10-07,t,within an hour,100%,97%,4,5,t
125895897,Kara,2017-04-14,t,,,100%,1,1,t
108315860,Saj,2016-12-24,f,within an hour,100%,93%,1,1,t
433503539,Lee,2021-11-25,t,within an hour,100%,100%,1,1,t
176302340,Marc,2018-03-03,t,within an hour,100%,100%,1,1,t
112291744,Jose,2017-01-19,t,within an hour,100%,87%,1,1,t
10442737,Theresa,2013-12-05,t,within an hour,100%,100%,1,1,t
128712300,Paige,2017-05-03,t,within an hour,100%,100%,2,3,t
204452026,Carl,2018-07-23,f,within a few hours,100%,100%,1,1,t
65407269,Temi,2016-04-01,f,within an hour,100%,100%,1,1,t
462789524,Ajibola,2022-06-06,f,,,,3,3,t
54311317,Daniel,2016-01-12,f,within an hour,100%,100%,1,1,t
201107618,Jessica,2018-07-09,f,within an hour,100%,100%,1,1,t
436088702,Owocrown,2021-12-15,f,within an hour,100%,100%,2,3,t
436464214,Kafayat,2021-12-18,f,within an hour,100%,86%,2,2,t
96715712,Carrie-Lynn,2016-09-25,f,within an hour,100%,88%,2,3,t
436312242,Xavier,2021-12-16,t,within an hour,100%,99%,2,2,t
14688156,Sivan,2014-04-24,f,,,20%,1,2,t
437095800,John And Katrina,2021-12-22,f,within an hour,100%,61%,3,3,t
437749879,Veberly,2021-12-27,f,within an hour,100%,100%,1,2,f
176320514,Mary Jane,2018-03-03,f,within an hour,90%,93%,2,2,t
296708205,Krista,2019-09-21,t,within an hour,100%,100%,2,2,t
440724621,Chinwe,2022-01-16,f,,,,1,1,t
440787943,Sean,2022-01-16,t,within an hour,100%,93%,2,2,t
78630862,Amaka,2016-06-19,f,within an hour,100%,97%,4,4,t
309609476,Ibijoke,2019-11-14,f,within a day,67%,25%,1,1,t
442121153,Seven,2022-01-25,f,,,,1,1,t
208357013,LionEagle Stay,2018-08-08,f,within an hour,100%,100%,1,6,t
442702255,Christine,2022-01-29,t,within an hour,100%,100%,1,1,t
86613683,Michelle,2016-07-28,t,,,92%,1,1,t
444079040,James,2022-02-07,t,within an hour,100%,100%,4,4,t
128307413,David,2017-04-30,f,within an hour,100%,99%,3,3,t
302803955,Vipan,2019-10-16,t,within an hour,100%,98%,2,2,t
442288643,Adekunle,2022-01-26,t,within an hour,100%,100%,3,3,t
446091904,Molly,2022-02-21,t,within an hour,100%,100%,1,1,t
311909855,Chaman,2019-11-24,t,within an hour,100%,100%,2,2,t
73117345,Bryce,2016-05-20,t,within an hour,100%,100%,1,1,t
446410547,Catherine,2022-02-22,f,within an hour,100%,98%,1,1,t
446643790,Okey,2022-02-24,f,within an hour,100%,100%,1,1,t
257848729,Nurudeen,2019-04-24,f,,,,1,5,t
447143843,Kazeem,2022-02-27,f,within an hour,100%,54%,2,2,t
123942185,Ash,2017-04-02,f,within an hour,100%,99%,4,4,t
125825750,Ayo,2017-04-14,f,,,100%,1,1,t
413273155,Nook,2021-07-16,t,within an hour,100%,100%,1,1,t
428333759,Martin,2021-10-21,t,within an hour,100%,100%,1,1,t
451461794,Sheri,2022-03-27,f,,,,1,1,t
430397151,Ina,2021-11-04,t,within an hour,100%,99%,1,1,t
450311551,Angela,2022-03-19,t,within an hour,90%,94%,1,1,t
76016934,Michael,2016-06-05,t,within an hour,100%,100%,2,9,t
42643937,Darla,2015-08-27,f,within an hour,100%,98%,2,2,t
33937219,Paul,2015-05-21,f,within an hour,100%,0%,1,1,f
158769835,Mouhssine,2017-11-14,f,within an hour,100%,100%,2,2,t
452302265,Ayoleke,2022-04-01,f,,,96%,1,1,t
445341632,Ashley,2022-02-16,t,within an hour,100%,100%,1,1,t
172960313,Mohammad,2018-02-12,t,within an hour,100%,100%,1,1,t
139884314,Florence,2017-07-11,f,within an hour,100%,98%,2,3,t
453760248,Olayiwola,2022-04-11,f,,,0%,1,1,f
121227781,Reanna,2017-03-17,t,within a day,100%,86%,1,6,t
450443849,Monissh,2022-03-20,t,within an hour,100%,99%,4,5,t
7365680,Jennilee,2013-07-08,f,within a day,86%,90%,1,2,t
68960718,Nitasha,2016-04-26,t,within an hour,100%,94%,1,1,t
454845403,Meagan,2022-04-18,f,within a few hours,100%,100%,2,2,t
367874453,Ruth,2020-09-16,t,within an hour,100%,99%,1,2,t
174076259,Evan,2018-02-18,t,within an hour,100%,91%,1,2,t
342103720,Maninder,2020-03-20,f,,,,1,2,t
373537901,Ola,2020-10-27,t,within an hour,100%,100%,1,1,t
